Source ID,Target ID,Source,Target,Altered,Start Year Type,Start Year,End Year Type,End Year
10001967,10000411,Anne Camm,John Audland,FALSE,AF/IN,1630,BF/IN,1664
10001969,10001967,Thomas Camm,Anne Camm,FALSE,AF/IN,1640,BF/IN,1705
10007246,10006100,Elizabeth Leavens,Thomas Holme,FALSE,AF/IN,1626,BF/IN,1665
10007246,10004170,Elizabeth Leavens,Margaret Fell,FALSE,AF/IN,1614,BF/IN,1665
10003974,10003827,John Endecott,Mary Dyer,FALSE,AF/IN,1555,BF/IN,1660
10011671,10003827,King Charles II,Mary Dyer,FALSE,AF/IN,1630,BF/IN,1660
10009347,10003022,James Parnel,Stephen Crisp,FALSE,AF/IN,1636,BF/IN,1656
10009347,10004625,James Parnel,Benjamin Furly,TRUE,AF/IN,1636,BF/IN,1656
10002469,10001027,Richard Claridge,Joseph Besse,FALSE,AF/IN,1683,BF/IN,1723
10009531,10002469,William Penn,Richard Claridge,FALSE,AF/IN,1649,BF/IN,1718
10004036,10002354,Katharine Evans,Sarah Cheevers,FALSE,AF/IN,1618,BF/IN,1664
10009527,10009526,Mary Penington,John Penington,FALSE,AF/IN,1655,BF/IN,1682
10010260,10008713,Robert Rich,James Nayler,FALSE,AF/IN,1618,BF/IN,1660
10011989,10010260,William Tomlinson,Robert Rich,FALSE,AF/IN,1650,BF/IN,1679
10013226,10004173,Isabel Yeamans,Thomas Fell,FALSE,AF/IN,1637,BF/IN,1658
10013226,10009531,Isabel Yeamans,William Penn,FALSE,AF/IN,1644,BF/IN,1704
10007246,10006100,Elizabeth Leavens,Thomas Holme,FALSE,AF/IN,1626,BF/IN,1665
10006100,10004827,Thomas Holme,William Gibson,FALSE,AF/IN,1628,BF/IN,1666
